"Company";"NoSubs_calculated";"NoSubsWithPatents";"CurrentYear";"NoPatentsYearGUOtotal";"No_AI_PatentsYearGUOtotal";"Country";"Nace_4d";"Size_class";"No_employees_Year";"Date_Incorporation";"YearFirstAdoption";"Relatedness_Cos2";"first.treat";"treat";"Specializations_Number";"UniqueCodes";"UniqueSubclass";"Herfindahl";"Shannon"
"BE0452080178";0;1;2000;1;0;"BE";2630;"Very large company";NA;1994;"2017";14;2017;1;NA;NA;NA;NA;NA
"CA275047679L";0;0;2000;3;0;"CA";2651;"Large company";NA;2007;"Control";5;0;0;NA;NA;NA;NA;NA
"DE2190530736";0;0;2000;1;0;"DE";4321;"Large company";NA;2007;"Control";5;0;0;NA;NA;NA;NA;NA
"DE6050093755";0;0;2000;1;0;"DE";2120;"Very large company";NA;1993;"Control";23;0;0;NA;NA;NA;NA;NA
"JP5011001029386";0;0;2000;1;0;"JP";9329;"Very large company";NA;1998;"Control";5;0;0;NA;NA;NA;NA;NA
"JP9120001007882";0;0;2000;1;0;"JP";4642;"Very large company";NA;1993;"Control";2;0;0;NA;NA;NA;NA;NA
"KR1101110539738";0;0;2000;2;0;"KR";2630;"Large company";NA;1987;"Control";8;0;0;NA;NA;NA;NA;NA
"KR1101111932626";0;0;2000;5;0;"KR";2620;"Large company";NA;2000;"Control";2;0;0;NA;NA;NA;NA;NA
"KR2111110001529";0;0;2000;2;0;"KR";2120;"Very large company";NA;1989;"Control";16;0;0;NA;NA;NA;NA;NA
"US149126465L";0;0;2000;1;0;"US";6391;"Large company";NA;1997;"2018";2;2018;1;NA;NA;NA;NA;NA
"US149157844L";0;0;2000;2;0;"US";6201;"Very large company";NA;1984;"2017";10;2017;1;NA;NA;NA;NA;NA
"BE0452080178";0;2;2001;2;0;"BE";2630;"Very large company";NA;1994;"2017";14;2017;1;NA;NA;NA;NA;NA
"CA275047679L";0;0;2001;3;0;"CA";2651;"Large company";NA;2007;"Control";5;0;0;NA;NA;NA;NA;NA
"DE2190530736";0;0;2001;6;0;"DE";4321;"Large company";NA;2007;"Control";5;0;0;NA;NA;NA;NA;NA
"DE6050093755";0;1;2001;5;0;"DE";2120;"Very large company";NA;1993;"Control";23;0;0;NA;NA;NA;NA;NA
"JP5011001029386";0;0;2001;4;0;"JP";9329;"Very large company";NA;1998;"Control";5;0;0;NA;NA;NA;NA;NA
"JP9120001007882";0;1;2001;4;0;"JP";4642;"Very large company";NA;1993;"Control";2;0;0;NA;NA;NA;NA;NA
"KR1101110539738";0;0;2001;4;0;"KR";2630;"Large company";NA;1987;"Control";8;0;0;NA;NA;NA;NA;NA
"KR1101111932626";0;0;2001;6;0;"KR";2620;"Large company";NA;2000;"Control";2;0;0;NA;NA;NA;NA;NA
"KR2111110001529";0;0;2001;6;0;"KR";2120;"Very large company";NA;1989;"Control";16;0;0;NA;NA;NA;NA;NA
"US149126465L";0;1;2001;3;0;"US";6391;"Large company";NA;1997;"2018";2;2018;1;NA;NA;NA;NA;NA
"US149157844L";0;1;2001;3;0;"US";6201;"Very large company";NA;1984;"2017";10;2017;1;NA;NA;NA;NA;NA
