"Company";"NoSubs_calculated";"NoSubsWithPatents";"CurrentYear";"NoPatentsYearGUOtotal";"No_AI_PatentsYearGUOtotal";"Country";"Nace_4d";"Size_class";"No_employees_Year";"Date_Incorporation";"YearFirstAdoption";"Relatedness_Cos2";"first.treat";"treat";"Specializations_Number";"UniqueCodes";"UniqueSubclass";"Herfindahl";"Shannon"
"AE0000037109";1;1;2019;2;0;"AE";2620;"Small company";NA;1963;"Control";0;0;0;1;1;2;1;0
"AE0000037976";2;1;2019;1;0;"AE";4762;"Large company";150;1991;"Control";0;0;0;1;1;1;1;0
"AE0000040745";18;0;2019;3;0;"AE";7739;"Large company";14;2000;"Control";0;0;0;2;3;4;0,5;1
"AE0000051855";39;2;2019;2;0;"AE";6612;"Medium sized company";60;1973;"Control";0;0;0;1;1;3;1;0
"AE0000121283";1;1;2019;1;0;"AE";4618;"Medium sized company";NA;1992;"Control";0;0;0;1;1;1;1;0
"AE0000343495";1;0;2019;4;0;"AE";7010;"Large company";50;2006;"Control";0;0;0;1;1;1;1;0
"AE0000485799";8;0;2019;1;0;"AE";2314;"Medium sized company";NA;2000;"Control";0;0;0;0;2;2;NA;NA
"AE0000587671";2;0;2019;1;0;"AE";4671;"Medium sized company";NA;2012;"Control";0;0;0;1;1;1;1;0
"AE0000653207";1;0;2019;3;0;"AE";6190;"Small company";NA;NA;"Control";0;0;0;1;1;2;1;0
"AE0001308877";1;1;2019;1;0;"AE";4648;"Medium sized company";NA;2010;"Control";0;0;0;0;1;2;NA;NA
"AE0047144616";1;0;2019;1;0;"AE";6190;"Medium sized company";NA;2004;"Control";0;0;0;1;1;1;1;0
"AE0048992444";3;0;2019;1;0;"AE";6430;"Medium sized company";NA;2004;"Control";0;0;0;0;2;3;NA;NA
"AE30007GU";26;1;2019;1;0;"AE";4110;"Very large company";NA;1993;"Control";0;0;0;1;1;1;1;0
"AE30030GU";15;0;2019;1;0;"AE";2120;"Very large company";NA;1979;"Control";0;0;0;1;1;1;1;0
"AE30133GU";12;1;2019;4;0;"AE";8690;"Very large company";NA;2014;"Control";0;0;0;0;6;13;NA;NA
"AG30004PB";9;4;2019;75;0;"AG";2120;"Very large company";NA;1999;"Control";28;0;0;13;4;15;0,128177777777778;3,23
"AI41531NU";7;0;2019;1;0;"AI";5829;"Very large company";13;1987;"Control";0;0;0;1;1;1;1;0
"ALL41417003A";3;1;2019;6;0;"AL";7112;"Small company";NA;2014;"Control";37;0;0;3;2;4;0,333333333333333;1,585
"AR30-50085862-8";7;0;2019;6;0;"AR";1061;"Very large company";NA;1931;"Control";18;0;0;3;2;10;0,36;1,522
"AR30-50115282-6";5;0;2019;2;0;"AR";2120;"Very large company";NA;1959;"Control";0;0;0;0;2;4;NA;NA
"AR30-50146646-4";15;0;2019;6;0;"AR";2511;"Very large company";NA;1907;"Control";1;0;0;3;2;5;0,44;1,371
"AR30-50279317-5";27;2;2019;7;0;"AR";1082;"Very large company";NA;1962;"Control";6;0;0;4;4;7;0,277777777777778;1,918
"AR30-50930070-0";315;9;2019;130;2;"AR";142;"Very large company";NA;1937;"2015";27;2015;1;17;5;35;0,139190278380557;3,443
"AR30-51119023-8";20;0;2019;2;0;"AR";123;"Very large company";NA;1955;"Control";0;0;0;0;2;4;NA;NA
"AR30-52655265-9";73;2;2019;9;0;"AR";3511;"Very large company";NA;1945;"Control";13;0;0;4;2;7;0,4375;1,549
"AR30-58558124-7";5;0;2019;11;0;"AR";8412;"Very large company";NA;1976;"Control";4;0;0;4;3;6;0,283950617283951;1,891
"AR30-58952711-5";2;0;2019;6;0;"AR";2015;"Large company";NA;1985;"Control";40;0;0;2;2;4;0,68;0,722
