"Name";"Company";"Country";"Nace_4d";"Size_class";"Date_Incorporation";"YearFirstAdoption";"Agegroup";"Quartile";"Nace_2d";"treat";"Group";"distance";"weights";"subclass";"LongIdentifier";"NoPatentsYearGUOtotal";"No_AI_PatentsYearGUOtotal";"Relatedness_GUOs";"RelatednessGUosandSubs";"CurrentYear";"first.treat";"SeqOwner";"id";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Type";"Relatedness_Assoc2";"Relatedness_Jacc2";"Relatedness_Prob2";"Relatedness_Cos2"
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f7";3;0;NA;NA;2006;2019;1;1;1;2;1;2;"MNE";1;2;1;2
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f8";3;0;NA;NA;2007;2019;1;1;1;2;1;2;"MNE";1;2;1;2
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f9";3;0;NA;NA;2008;2019;1;1;1;2;1;2;"MNE";1;2;1;2
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f10";6;0;NA;NA;2009;2019;1;1;3;11;3;9;"MNE";3;11;3;9
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f11";10;0;1,53066666666667;1,41224489795918;2010;2019;1;1;8;22;8;19;"MNE";8;22;8;19
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f12";12;0;1,5762962962963;1,48819259259259;2011;2019;1;1;8;20;8;19;"MNE";8;20;8;19
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f13";13;0;1,5762962962963;1,41325637325637;2012;2019;1;1;8;20;8;19;"MNE";8;20;8;19
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f14";15;0;1,04121693121693;1,01260316665275;2013;2019;1;1;8;20;8;18;"MNE";8;20;8;18
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f15";15;0;1,04121693121693;1,01260316665275;2014;2019;1;1;8;20;8;18;"MNE";8;20;8;18
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f16";15;0;1,04121693121693;1,01260316665275;2015;2019;1;1;8;20;8;18;"MNE";8;20;8;18
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f17";16;0;1,04121693121693;1,01260316665275;2016;2019;1;1;8;20;8;18;"MNE";8;20;8;18
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f18";17;0;1,04121693121693;1,00954893285472;2017;2019;1;1;11;29;11;26;"MNE";11;29;11;26
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f19";19;0;1,04121693121693;1,00954893285472;2018;2019;1;1;11;29;11;26;"MNE";11;29;11;26
"PROMETHERA BIOSCIENCES";"BE0809788365";"BE";8690;"Large company";2009;"2019";"(2005,2010]";"IQR";86;1;2019;7,3778492542882e-05;1;"5_1";"f20";24;1;1,061937385888;1,07395634668362;2019;2019;1;1;11;29;11;26;"MNE";11;29;11;26
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f7";0;0;NA;NA;2006;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f8";0;0;NA;NA;2007;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f9";0;0;NA;NA;2008;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f10";0;0;NA;NA;2009;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f11";0;0;NA;NA;2010;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f12";0;0;NA;NA;2011;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f13";0;0;NA;NA;2012;0;1;2;NA;NA;NA;NA;NA;0;0;0;0
"PEMA HOLDING AG";"CHCHE101732158";"CH";6420;"Large company";1990;"Control";"(1980,2000]";"IQR";64;0;2016;5,65412367705496e-05;1;"2_1";"f14";3;0;NA;0,777777777777778;2013;0;1;2;0;0;0;0;"MNE";0;0;0;0
