"variables";"t-1";"t";"t+1";"t+2";"t+3"
"Relatedness_Cos2";0,268976565373172;0,203709058466802;0,0634802199464736;0,044696039312579;0,0795469514457546
"NoPatentsYearGUOtotal";0,107797156431536;0,0507400876687618;0,0165966472524666;0,0177623389980477;0,0767647467730461
"Specializations_Number";0,167694927647735;0,142013075047873;0,0731369356904537;0,0375606921442524;0,116353411749721
"UniqueCodes";0,553030319211272;0,472435383498783;0,465016848647177;0,301170159577704;0,43021901544818
"UniqueSubclass";0,503158290618613;0,212607267729892;0,117963021954057;0,0640742612523416;0,189952895088821
"Herfindahl";0,580325335721837;0,436158565768196;0,376071418507148;0,25202660934323;0,407337419361139
"Shannon";0,561829503124842;0,3702211807348;0,254514686266533;0,160099051016598;0,250968518239488
"AIcodes";0,291681642744256;0,354550734860371;0,732163857367348;0,889096532382205;0,964006062684125
"Rate_granted";0,0300208965477613;4,58842676093264e-11;5,20909219673624e-10;8,83334918927498e-08;1,59981233966465e-06
"avg_claims";0,0297465183831219;0,0413256533130291;0,105465957176196;0,179455572737469;0,402617642655037
"avg_number_of_family_members";0,103567658077767;0,310646964465204;0,520994962659916;0,706999396315368;0,874102675526244
"avg_backward_citations";0,000351079327075283;0,00023185341682832;0,00153543468070785;0,0228318468778012;0,0564885420543412
"avg_forward_citations";0,0371587246318946;0,0376382511369483;0,12806052393552;0,459234968694839;0,876448612532303
"avg_time_filing_to_publication";0,851909539337932;0,0031761617530262;0,00199675678653535;0,00886992690983016;0,00852870338513433
"avg_time_filing_to_grant";0,668588882176758;0,571053781619047;0,326127910341704;0,442692200825444;0,688487344785293
"avg_time_publication_to_grant";0,582686598958421;0,431081889325467;0,11173668852193;0,0285078380652136;0,0803149136151033
"n_granted_na";0,75997920908962;0,934012827199643;0,384014728272314;0,173040665276607;0,248256609094461
"n_granted_yes";0,130856490106548;0,00213564926475328;0,00105348041169692;0,00198569956964145;0,00890740036424825
"Rate_success_subs";0,173980772978683;0,00030817250881283;0,00103401785806432;0,0178639602124051;0,0111602348336572
"Rate_success_HQ";0,0144774402741815;1,01637047493445e-07;1,2481968990003e-06;0,000115996648296016;0,000104849792827755
"n_granted_yes_HQ";0,565983796941515;0,0437928575058587;0,057587327233329;0,0970261521910626;0,0216871894284675
"n_granted_na_HQ";0,703942466972781;0,600177657559473;0,881938342242764;0,971837908537685;0,588396737053136
"avg_time_filing_to_publication_HQ";0,842978769363768;0,0197264262344574;0,00975805428601167;0,00453017613058153;0,00230774133037017
"avg_time_filing_to_grant_HQ";0,953064955108945;0,460615613199164;0,193393174560886;0,0429827412111711;0,0722239500022485
"avg_time_publication_to_grant_HQ";0,493550084162101;0,272099249266163;0,0702965174842059;0,0537662792509173;0,207265229782926
"n_granted_yes_subsidiaries";0,355897507042592;0,0588383028800659;0,0276832456224157;0,0624908977585195;0,117783530820046
"n_granted_na_subsidiaries";0,896995426503781;0,945603385221482;0,582579899869132;0,434369125118939;0,673282849522022
"avg_time_filing_to_publication_subsidiaries";0,910182270410291;0,0571653075600496;0,0218290456848281;0,147373772838267;0,2439516197513
"avg_time_filing_to_grant_subsidiaries";0,717767992607634;0,976538514715431;0,776282761466684;0,779586520184766;0,461578367849236
"avg_time_publication_to_grant_subsidiaries";0,645552998372834;0,664696449409734;0,992205715914113;0,257644647219702;0,167923201550454
"Patent_productivity";0,370549066774976;0,836596069593832;0,0384603159189135;0,23739937588226;0,0649405304774463
"Patent_output_per_employee";0,587416850954606;0,898460267782822;0,050620510117813;0,55329838152205;0,0509483210550844
"RandD_Year";0,856258749673921;0,890465155502122;0,837593013691021;0,777509355326927;0,575164885024439
"Date_Incorporation";0,970457841976439;0,970457841976439;0,930199008897846;0,963996279646719;0,99302815363999
"No_AI_PatentsYearGUOtotal";NA;0,100730914937709;0,00895617819468483;0,0162508588192233;0,0497326302896992
"No_subs_extended";0,790355373137722;0,790355373137722;0,764350540387914;0,569755349078086;0,388215849776167
"operating_revenue_turnover";0,347282913246689;0,363782126648761;0,647758173779489;0,451301940063485;0,202171966115829
"number_of_employees";0,530289369672951;0,920247001605759;0,814342459495552;0,902248545946834;0,277998624543003
"number_patents_year";0,108379570018106;0,556504968060694;0,36536131672583;0,0144189098986526;0,373809307419239
"NoPatentsYearGUOalone";0,462308049806779;0,3144811136442;0,273106389370302;0,377118198519866;0,16664224667068
"NoPatentsYearALLSubs";0,247254745936771;0,3261562657191;0,16941978908063;0,205678967619054;0,392897190055815
"Stock_value";0,27806061544469;0,275154143406594;0,150866760479386;0,352739105093152;0,677905356794931
"Market_capitalisation";0,243844096161857;0,55845558318619;0,240638402869866;0,259318681394198;0,529017205305668
"total_granted_ai";3,46039524290681e-44;3,46039524290681e-44;1,35978347744735e-42;5,22043636632132e-31;1,5870209325494e-23
