"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"new_treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Quartile";"108";"";"";"";"";"";"";"108";"";"";"";"";"";"";"X2=0"
"... Bottom";"5";"5%";"";"";"";"";"";"5";"5%";"";"";"";"";"";""
"... IQR";"29";"27%";"";"";"";"";"";"29";"27%";"";"";"";"";"";""
"... Top";"74";"69%";"";"";"";"";"";"74";"69%";"";"";"";"";"";""
"CurrentYear";"2016";"2016";"2.3";"2011";"2014";"2018";"2019";"2016";"2016";"2.3";"2011";"2014";"2018";"2019";"F=0"
"Year_before_adoption";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"F=0"
"Relatedness_Cos2";"15";"13";"11";"0";"7.8";"22";"53";"16";"16";"10";"0";"9";"23";"42";"F=1.108"
"NoPatentsYearGUOtotal";"88";"26";"185";"1";"7";"82";"1613";"138";"41";"322";"1";"15";"125";"2463";"F=1.934"
"Specializations_Number";"11";"6.5";"11";"0";"2";"16";"66";"13";"9.5";"13";"0";"3";"17";"65";"F=1.871"
"UniqueCodes";"3.5";"3";"1.9";"1";"2";"5";"8";"3.7";"3";"2.1";"1";"2";"6";"8";"F=0.694"
"UniqueSubclass";"20";"10";"25";"1";"4";"27";"192";"25";"16";"31";"1";"5.8";"32";"153";"F=1.941"
"Herfindahl";"0.41";"0.28";"0.3";"0.064";"0.17";"0.56";"1";"0.37";"0.3";"0.27";"0.029";"0.17";"0.48";"1";"F=1.02"
"Shannon";"2.1";"2.2";"1.3";"0";"0.96";"3.2";"5";"2.3";"2.3";"1.3";"0";"1.5";"3.1";"5.5";"F=1.377"
"AIcodes";"1.3";"1";"1.2";"0";"0";"2";"5";"1.2";"1";"1.2";"0";"0";"2";"4";"F=0.842"
"Rate_granted";"0.41";"0.42";"0.27";"0";"0.22";"0.62";"0.96";"0.66";"0.67";"0.23";"0";"0.54";"0.82";"1";"F=54.864***"
"avg_claims";"17";"15";"12";"0";"9";"20";"87";"14";"13";"7.9";"3.6";"7.3";"17";"46";"F=4.769**"
"avg_number_of_family_members";"4.9";"3.5";"4.8";"1";"2";"6.5";"27";"4.7";"3";"5.1";"0";"1.5";"6.4";"32";"F=0.097"
"avg_backward_citations";"8.6";"4.4";"14";"0";"2.5";"8";"112";"7.1";"2.4";"18";"0";"1.4";"5.8";"149";"F=0.497"
"avg_forward_citations";"5.6";"3";"7.2";"0";"2";"6.7";"48";"6.6";"2.2";"18";"0";"1.3";"4.9";"168";"F=0.32"
"avg_time_filing_to_publication";"711";"675";"395";"48";"387";"996";"1708";"887";"873";"425";"211";"592";"1152";"2171";"F=9.858***"
"avg_time_filing_to_grant";"1153";"1210";"511";"237";"726";"1500";"2514";"1192";"1286";"568";"187";"735";"1577";"2711";"F=0.256"
"avg_time_publication_to_grant";"65";"0";"163";"-5.7";"0";"58";"1237";"114";"0";"269";"-1.3";"0";"106";"1736";"F=2.183"
"n_granted_na";"36";"11";"78";"1";"4";"34";"686";"49";"13";"121";"0";"4.8";"43";"956";"F=0.847"
"n_granted_yes";"52";"9.5";"113";"0";"2";"49";"927";"89";"29";"205";"0";"6.5";"85";"1507";"F=2.697"
