"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"new_treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Quartile";"56";"";"";"";"";"";"";"56";"";"";"";"";"";"";"X2=0"
"... Bottom";"2";"4%";"";"";"";"";"";"2";"4%";"";"";"";"";"";""
"... IQR";"13";"23%";"";"";"";"";"";"13";"23%";"";"";"";"";"";""
"... Top";"41";"73%";"";"";"";"";"";"41";"73%";"";"";"";"";"";""
"CurrentYear";"2017";"2017";"1.7";"2014";"2015";"2018";"2019";"2017";"2017";"1.7";"2014";"2015";"2018";"2019";"F=0"
"YearFirstAdoption";"56";"";"";"";"";"";"";"56";"";"";"";"";"";"";"X2=0"
"... 2011";"6";"11%";"";"";"";"";"";"6";"11%";"";"";"";"";"";""
"... 2012";"10";"18%";"";"";"";"";"";"10";"18%";"";"";"";"";"";""
"... 2013";"4";"7%";"";"";"";"";"";"4";"7%";"";"";"";"";"";""
"... 2014";"10";"18%";"";"";"";"";"";"10";"18%";"";"";"";"";"";""
"... 2015";"13";"23%";"";"";"";"";"";"13";"23%";"";"";"";"";"";""
"... 2016";"13";"23%";"";"";"";"";"";"13";"23%";"";"";"";"";"";""
"Year_before_adoption";"2013";"2013";"1.7";"2010";"2011";"2014";"2015";"2013";"2013";"1.7";"2010";"2011";"2014";"2015";"F=0"
"Relatedness_Cos2";"14";"11";"12";"0";"6.5";"21";"47";"18";"19";"13";"0";"8.5";"27";"42";"F=3.155*"
"NoPatentsYearGUOtotal";"56";"20";"86";"0";"6";"55";"408";"123";"44";"242";"0";"9.8";"152";"1294";"F=3.798*"
"Specializations_Number";"8.4";"4";"9.1";"0";"2";"13";"36";"11";"9";"11";"0";"3";"14";"62";"F=2.145"
"UniqueCodes";"3.2";"2";"1.8";"1";"2";"5";"7";"3.3";"3";"1.7";"1";"2";"4.5";"8";"F=0.248"
"UniqueSubclass";"14";"9";"15";"1";"3";"22";"62";"19";"14";"22";"1";"4.5";"24";"106";"F=1.897"
"Herfindahl";"0.43";"0.31";"0.29";"0.068";"0.23";"0.56";"1";"0.38";"0.33";"0.26";"0.07";"0.19";"0.46";"1";"F=0.95"
"Shannon";"1.9";"1.9";"1.2";"0";"0.92";"2.9";"4.5";"2.1";"2.2";"1.2";"0";"1.4";"2.9";"4.8";"F=1.374"
"AIcodes";"1.3";"1";"1.1";"0";"0.75";"2";"5";"1.4";"1";"1.5";"0";"0";"3";"5";"F=0.19"
"Rate_granted";"0.37";"0.31";"0.28";"0";"0.13";"0.61";"0.96";"0.64";"0.67";"0.24";"0.11";"0.49";"0.79";"1";"F=29.633***"
"avg_claims";"19";"17";"14";"0";"11";"21";"87";"16";"16";"7.5";"4.3";"9.6";"20";"37";"F=1.712"
"avg_number_of_family_members";"5.3";"4";"5.2";"1";"2.4";"6";"27";"5.4";"3.8";"5.5";"1";"2";"7";"32";"F=0.006"
"avg_backward_citations";"9.5";"5";"12";"0";"2.8";"10";"68";"9.3";"3.6";"25";"0";"1.4";"6.5";"178";"F=0.005"
"avg_forward_citations";"5.4";"2.9";"7.2";"0";"1.4";"7.1";"45";"8.2";"2.8";"22";"0";"1.2";"5.8";"162";"F=0.834"
"avg_time_filing_to_publication";"685";"655";"399";"48";"348";"966";"1701";"897";"827";"405";"243";"647";"1136";"1864";"F=7.652***"
"avg_time_filing_to_grant";"1182";"1147";"516";"269";"942";"1470";"2514";"1254";"1240";"564";"266";"870";"1700";"2463";"F=0.413"
"avg_time_publication_to_grant";"104";"0";"330";"-5.7";"0";"2.1";"1785";"161";"0";"346";"-0.34";"0";"157";"1736";"F=0.669"
"n_granted_na";"22";"11";"31";"1";"5";"25";"189";"40";"18";"70";"0";"4.5";"40";"402";"F=3*"
"n_granted_yes";"35";"7";"61";"0";"1";"30";"236";"85";"23";"180";"1";"5";"92";"983";"F=3.845*"
"Rate_success_subs";"0.45";"0.52";"0.35";"0";"0";"0.68";"1";"0.65";"0.7";"0.28";"0.068";"0.49";"0.87";"1";"F=7.254***"
"Rate_success_HQ";"0.37";"0.29";"0.28";"0";"0.17";"0.58";"1";"0.63";"0.69";"0.26";"0.1";"0.49";"0.76";"1";"F=19.141***"
"n_granted_yes_HQ";"21";"1";"50";"0";"0";"10";"213";"27";"6";"49";"0";"1";"32";"242";"F=0.464"
"n_granted_na_HQ";"13";"4";"28";"0";"0";"15";"181";"15";"4";"22";"0";"0";"24";"78";"F=0.106"
"avg_time_filing_to_publication_HQ";"609";"585";"326";"97";"317";"858";"1469";"918";"827";"468";"243";"645";"1135";"2231";"F=11.745***"
"avg_time_filing_to_grant_HQ";"1059";"1121";"555";"207";"556";"1383";"2514";"1323";"1348";"609";"266";"783";"1864";"2494";"F=3.702*"
"avg_time_publication_to_grant_HQ";"126";"0";"385";"-6";"0";"0";"1785";"182";"0";"377";"0";"0";"224";"1736";"F=0.396"
"n_granted_yes_subsidiaries";"15";"2";"36";"0";"0";"12";"209";"59";"2";"160";"0";"0";"42";"798";"F=3.97**"
"n_granted_na_subsidiaries";"8.3";"2";"17";"0";"0";"9";"99";"25";"2";"64";"0";"0";"15";"402";"F=3.353*"
"avg_time_filing_to_publication_subsidiaries";"728";"668";"474";"48";"253";"1031";"1701";"871";"813";"547";"254";"472";"1093";"2834";"F=1.499"
"avg_time_filing_to_grant_subsidiaries";"1184";"1253";"573";"126";"885";"1524";"2252";"1139";"1004";"656";"273";"716";"1437";"2987";"F=0.085"
"avg_time_publication_to_grant_subsidiaries";"30";"0";"86";"-4.4";"0";"0";"352";"53";"0";"135";"-0.34";"0";"14";"607";"F=0.677"
"Patent_productivity";"0.0004";"0";"0.0014";"0";"0";"0.0000085";"0.0069";"0.00053";"0.000014";"0.0012";"0";"0";"0.00046";"0.0052";"F=0.145"
"Patent_output_per_employee";"0.0028";"0";"0.0092";"0";"0";"0";"0.043";"0.0062";"0";"0.015";"0";"0";"0.004";"0.073";"F=1.255"
"RandD_Year";"39179";"8033";"69980";"0";"449";"36513";"250791";"45425";"9711";"77621";"0";"1156";"38824";"279594";"F=0.116"
"Size_class";"56";"";"";"";"";"";"";"56";"";"";"";"";"";"";"X2=0"
"... Large company";"1";"2%";"";"";"";"";"";"1";"2%";"";"";"";"";"";""
"... Medium sized company";"9";"16%";"";"";"";"";"";"9";"16%";"";"";"";"";"";""
"... Small company";"6";"11%";"";"";"";"";"";"6";"11%";"";"";"";"";"";""
"... Very large company";"40";"71%";"";"";"";"";"";"40";"71%";"";"";"";"";"";""
