"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"new_treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Quartile";"108";"";"";"";"";"";"";"108";"";"";"";"";"";"";"X2=0"
"... Bottom";"5";"5%";"";"";"";"";"";"5";"5%";"";"";"";"";"";""
"... IQR";"29";"27%";"";"";"";"";"";"29";"27%";"";"";"";"";"";""
"... Top";"74";"69%";"";"";"";"";"";"74";"69%";"";"";"";"";"";""
"CurrentYear";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"F=0"
"Year_before_adoption";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"2015";"2015";"2.3";"2010";"2013";"2017";"2018";"F=0"
"Relatedness_Cos2";"15";"15";"11";"0";"7.2";"23";"53";"16";"16";"9.9";"0";"9.5";"24";"43";"F=0.793"
"NoPatentsYearGUOtotal";"79";"15";"177";"0";"2.8";"73";"1548";"106";"31";"242";"0";"8";"93";"2118";"F=0.907"
"Specializations_Number";"9.7";"5.5";"11";"0";"1.8";"15";"65";"11";"7";"12";"0";"3";"15";"65";"F=1.165"
"UniqueCodes";"3.7";"3";"2";"1";"2";"5";"8";"3.8";"3";"2.1";"1";"2";"6";"8";"F=0.395"
"UniqueSubclass";"21";"14";"26";"1";"4";"28";"192";"24";"15";"28";"1";"5.8";"33";"151";"F=0.55"
"Herfindahl";"0.4";"0.28";"0.31";"0.065";"0.17";"0.56";"1";"0.35";"0.29";"0.26";"0.031";"0.16";"0.45";"1";"F=1.468"
"Shannon";"2.2";"2.4";"1.3";"0";"0.97";"3.2";"5";"2.3";"2.3";"1.3";"0";"1.6";"3.2";"5.5";"F=0.94"
"AIcodes";"0.85";"0";"1.1";"0";"0";"2";"4";"0.94";"1";"1";"0";"0";"2";"4";"F=0.391"
"Rate_granted";"0.56";"0.6";"0.26";"0";"0.38";"0.71";"1";"0.64";"0.66";"0.25";"0";"0.5";"0.82";"1";"F=4.055**"
"avg_claims";"15";"15";"8.3";"4";"8.6";"20";"58";"13";"11";"8.2";"3.5";"6.3";"17";"52";"F=2.916*"
"avg_number_of_family_members";"5.3";"3.5";"6";"1";"1.9";"6.3";"35";"4.2";"2.9";"4.3";"1";"1.3";"5.6";"32";"F=2.301"
"avg_backward_citations";"12";"4.1";"33";"0";"2";"11";"296";"6.2";"2";"15";"0";"1.2";"5.3";"102";"F=2.274"
"avg_forward_citations";"5.7";"3";"7.5";"0";"1.9";"7";"50";"5.8";"2.2";"17";"0";"1.3";"4.6";"160";"F=0.002"
"avg_time_filing_to_publication";"914";"853";"443";"168";"555";"1235";"2134";"900";"872";"453";"98";"523";"1216";"2249";"F=0.044"
"avg_time_filing_to_grant";"1194";"1297";"545";"228";"705";"1571";"2714";"1222";"1381";"611";"157";"652";"1665";"2912";"F=0.101"
"avg_time_publication_to_grant";"43";"0";"95";"-18";"0";"15";"432";"79";"0";"211";"-2.9";"0";"48";"1404";"F=2.089"
"n_granted_na";"36";"11";"78";"0";"3.2";"34";"626";"42";"11";"94";"0";"4.8";"38";"796";"F=0.205"
"n_granted_yes";"58";"14";"119";"0";"4";"62";"922";"78";"29";"164";"0";"8";"70";"1322";"F=0.832"
"Rate_success_subs";"0.56";"0.6";"0.32";"0";"0.37";"0.8";"1";"0.64";"0.67";"0.31";"0";"0.43";"0.91";"1";"F=1.777"
