"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"Quartile";"bottom";"";"";"";"";"";"";"medium";"";"";"";"";"";"";"top";"";"";"";"";"";"";""
"Relatedness_Cos2";"6.6";"1";"9.5";"0";"0";"11";"56";"10";"6";"12";"0";"0";"18";"70";"8.8";"5";"10";"0";"0";"15";"56";"F=365.615***"
"NoSubs_calculated";"18";"4";"75";"0";"1";"12";"3481";"18";"4";"66";"0";"2";"12";"2034";"15";"4";"69";"0";"1";"11";"3295";"F=3.417**"
"NoSubsWithPatents";"1.3";"1";"3.3";"0";"0";"1";"112";"1.4";"0";"3.8";"0";"0";"1";"96";"1.1";"0";"2.7";"0";"0";"1";"55";"F=13.313***"
"Size_class";"13835";"";"";"";"";"";"";"8761";"";"";"";"";"";"";"4376";"";"";"";"";"";"";"X2=960.86***"
"... Large company";"3622";"26%";"";"";"";"";"";"2122";"24%";"";"";"";"";"";"833";"19%";"";"";"";"";"";""
"... Medium sized company";"2662";"19%";"";"";"";"";"";"1087";"12%";"";"";"";"";"";"727";"17%";"";"";"";"";"";""
"... Small company";"2083";"15%";"";"";"";"";"";"556";"6%";"";"";"";"";"";"476";"11%";"";"";"";"";"";""
"... Very large company";"5468";"40%";"";"";"";"";"";"4996";"57%";"";"";"";"";"";"2340";"53%";"";"";"";"";"";""
"NoPatentsYearGUOtotal";"58";"4";"425";"0";"1";"16";"20512";"108";"9";"566";"0";"2";"42";"17067";"70";"6";"412";"0";"2";"25";"12369";"F=30.891***"
"No_AI_PatentsYearGUOtotal";"0.099";"0";"1";"0";"0";"0";"86";"0.21";"0";"1.8";"0";"0";"0";"78";"1.1";"0";"14";"0";"0";"0";"566";"F=48.055***"
"No_employees_Year";"2719";"160";"15960";"0";"18";"928";"687280";"4078";"300";"34050";"0";"64";"1639";"2200000";"3056";"186";"20349";"0";"35";"1050";"551748";"F=5.721***"
"Date_Incorporation";"1988";"1997";"29";"1365";"1979";"2007";"2021";"1983";"1991";"29";"1519";"1972";"2002";"2020";"1994";"1998";"22";"1819";"1988";"2007";"2020";"F=209.818***"
"Specializations_Usage";"0.73";"0.87";"0.32";"0";"0.62";"1";"1";"0.78";"0.89";"0.29";"0";"0.73";"0.97";"1";"0.78";"0.9";"0.3";"0";"0.71";"1";"1";"F=66.072***"
"HigherUsage";"0.5";"0.44";"0.29";"0.052";"0.28";"0.67";"1";"0.46";"0.4";"0.26";"0.043";"0.26";"0.58";"1";"0.52";"0.48";"0.27";"0.045";"0.32";"0.67";"1";"F=74.681***"
"Specializations_Number";"6.4";"2";"12";"0";"1";"6";"127";"8.7";"4";"13";"0";"1";"10";"123";"5.9";"2";"9.2";"0";"1";"6";"89";"F=123.632***"
"Herfindahl";"0.56";"0.5";"0.34";"0.017";"0.26";"1";"1";"0.48";"0.38";"0.32";"0.023";"0.21";"0.72";"1";"0.55";"0.5";"0.32";"0.032";"0.28";"1";"1";"F=146.313***"
"Shannon";"1.4";"1";"1.4";"0";"0";"2.3";"6.5";"1.8";"1.6";"1.4";"0";"0.72";"2.7";"6.4";"1.4";"1.3";"1.2";"0";"0";"2.2";"5.7";"F=174.815***"
"UniqueCodes";"2.8";"2";"1.9";"1";"1";"4";"8";"3.3";"3";"2";"1";"2";"5";"8";"2.7";"2";"1.8";"1";"1";"4";"8";"F=183.678***"
"UniqueSubclass";"12";"4";"26";"1";"2";"11";"346";"17";"7";"30";"1";"3";"18";"363";"11";"4";"21";"1";"2";"11";"300";"F=102.644***"
