"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"Size_class";"Large company";"";"";"";"";"";"";"Medium sized company";"";"";"";"";"";"";"Small company";"";"";"";"";"";"";"Very large company";"";"";"";"";"";"";""
"Relatedness_Cos2";"5.5";"1";"8.4";"0";"0";"9";"70";"3.7";"0";"7.1";"0";"0";"4";"50";"4.1";"0";"7.6";"0";"0";"6";"54";"12";"10";"12";"0";"0";"20";"58";"F=1321.82***"
"NoSubs_calculated";"4.8";"2";"11";"0";"1";"5";"635";"3.8";"2";"12";"0";"1";"4";"455";"4.7";"2";"13";"0";"1";"4";"306";"33";"10";"100";"0";"4";"25";"3481";"F=367.879***"
"NoSubsWithPatents";"0.49";"0";"0.93";"0";"0";"1";"31";"0.46";"0";"0.82";"0";"0";"1";"19";"0.77";"1";"1";"0";"0";"1";"21";"2.1";"1";"4.6";"0";"0";"2";"112";"F=541.04***"
"NoPatentsYearGUOtotal";"15";"4";"47";"0";"2";"12";"1777";"7.9";"2";"35";"0";"1";"6";"1775";"17";"2";"321";"0";"1";"7";"17615";"146";"15";"662";"0";"3";"72";"20512";"F=179.223***"
"No_AI_PatentsYearGUOtotal";"0.055";"0";"0.74";"0";"0";"0";"52";"0.077";"0";"1.4";"0";"0";"0";"88";"0.12";"0";"1";"0";"0";"0";"28";"0.53";"0";"8.2";"0";"0";"0";"566";"F=14.085***"
"No_employees_Year";"174";"125";"171";"0";"56";"230";"1331";"30";"21";"30";"0";"7";"40";"169";"10";"3";"273";"0";"1";"4";"10500";"6284";"1131";"33878";"0";"367";"3803";"2200000";"F=97.429***"
"Date_Incorporation";"1986";"1992";"26";"1577";"1976";"2003";"2020";"1995";"2000";"19";"1798";"1988";"2008";"2020";"2003";"2007";"17";"1855";"1999";"2013";"2020";"1982";"1992";"32";"1365";"1969";"2003";"2021";"F=594.202***"
"Specializations_Usage";"0.74";"0.87";"0.32";"0";"0.62";"1";"1";"0.71";"0.87";"0.36";"0";"0.5";"1";"1";"0.72";"0.89";"0.36";"0";"0.57";"1";"1";"0.79";"0.88";"0.26";"0";"0.75";"0.95";"1";"F=96.862***"
"HigherUsage";"0.53";"0.5";"0.27";"0.067";"0.33";"0.69";"1";"0.59";"0.5";"0.29";"0.054";"0.33";"1";"1";"0.59";"0.5";"0.29";"0.043";"0.33";"1";"1";"0.42";"0.34";"0.25";"0.045";"0.23";"0.5";"1";"F=702.241***"
"Specializations_Number";"3.5";"2";"4.5";"0";"1";"4";"63";"2.3";"1";"3.4";"0";"1";"3";"48";"2.7";"1";"4.6";"0";"1";"3";"88";"12";"5";"15";"0";"2";"15";"127";"F=1332.284***"
"Herfindahl";"0.6";"0.5";"0.32";"0.053";"0.33";"1";"1";"0.69";"0.68";"0.31";"0.041";"0.39";"1";"1";"0.69";"0.68";"0.32";"0.028";"0.39";"1";"1";"0.41";"0.31";"0.31";"0.017";"0.17";"0.56";"1";"F=1171.944***"
"Shannon";"1.1";"1";"1";"0";"0";"1.9";"5";"0.81";"0.72";"0.92";"0";"0";"1.5";"5";"0.86";"0.72";"0.99";"0";"0";"1.5";"5.6";"2.1";"2.1";"1.4";"0";"1";"3.1";"6.5";"F=1659.388***"
"Quartile";"6577";"";"";"";"";"";"";"4476";"";"";"";"";"";"";"3115";"";"";"";"";"";"";"12804";"";"";"";"";"";"";"X2=960.86***"
"... bottom";"3622";"55%";"";"";"";"";"";"2662";"59%";"";"";"";"";"";"2083";"67%";"";"";"";"";"";"5468";"43%";"";"";"";"";"";""
"... medium";"2122";"32%";"";"";"";"";"";"1087";"24%";"";"";"";"";"";"556";"18%";"";"";"";"";"";"4996";"39%";"";"";"";"";"";""
"... top";"833";"13%";"";"";"";"";"";"727";"16%";"";"";"";"";"";"476";"15%";"";"";"";"";"";"2340";"18%";"";"";"";"";"";""
"UniqueCodes";"2.5";"2";"1.5";"1";"1";"3";"8";"2";"2";"1.2";"1";"1";"3";"8";"2";"2";"1.3";"1";"1";"3";"8";"3.8";"3";"2.2";"1";"2";"5";"8";"F=1695.796***"
"UniqueSubclass";"6.5";"4";"8.1";"1";"2";"8";"140";"4.4";"3";"5.9";"1";"1";"5";"105";"4.9";"3";"8.8";"1";"1";"5";"177";"23";"10";"35";"1";"4";"27";"363";"F=1060.602***"
