"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"Quartile";"bottom";"";"";"";"";"";"";"medium";"";"";"";"";"";"";"top";"";"";"";"";"";"";""
"Relatedness_Cos2";"11";"10";"11";"0";"1";"18";"53";"16";"16";"12";"0";"7";"24";"52";"12";"11";"10";"0";"2";"20";"53";"F=44.773***"
"Size_class";"820";"";"";"";"";"";"";"786";"";"";"";"";"";"";"908";"";"";"";"";"";"";"X2=127.182***"
"... Large company";"150";"18%";"";"";"";"";"";"72";"9%";"";"";"";"";"";"100";"11%";"";"";"";"";"";""
"... Medium sized company";"100";"12%";"";"";"";"";"";"32";"4%";"";"";"";"";"";"112";"12%";"";"";"";"";"";""
"... Small company";"82";"10%";"";"";"";"";"";"28";"4%";"";"";"";"";"";"86";"9%";"";"";"";"";"";""
"... Very large company";"488";"60%";"";"";"";"";"";"654";"83%";"";"";"";"";"";"610";"67%";"";"";"";"";"";""
"NoPatentsYearGUOtotal";"86";"16";"194";"0";"4";"76";"2423";"157";"45";"349";"0";"12";"150";"3387";"50";"15";"97";"0";"4";"48";"1340";"F=45.559***"
"No_AI_PatentsYearGUOtotal";"0.64";"0.5";"0.84";"0";"0";"1";"8";"0.71";"0.5";"1";"0";"0";"1";"9";"0.66";"0.5";"0.89";"0";"0";"1";"8";"F=1.205"
"treat";"0.5";"0.5";"0.5";"0";"0";"1";"1";"0.5";"0.5";"0.5";"0";"0";"1";"1";"0.5";"0.5";"0.5";"0";"0";"1";"1";"F=0"
"Date_Incorporation";"1987";"1999";"34";"1654";"1980";"2008";"2019";"1986";"1996";"30";"1761";"1977";"2004";"2018";"1999";"2001";"16";"1835";"1994";"2010";"2020";"F=65.933***"
"CurrentYear";"2016";"2017";"2.4";"2011";"2014";"2018";"2019";"2016";"2017";"2.5";"2011";"2014";"2018";"2019";"2016";"2016";"2.4";"2011";"2014";"2018";"2019";"F=6.246***"
"NoPatentsYearGUOtotal_avg_fixed";"79";"13";"189";"0";"3.4";"68";"2380";"145";"40";"335";"0";"9.4";"135";"3282";"45";"13";"92";"0";"3";"43";"1269";"F=39.793***"
"HigherUsage.x";"0.4";"0.35";"0.24";"0.065";"0.22";"0.5";"1";"0.38";"0.34";"0.22";"0.05";"0.23";"0.47";"1";"0.49";"0.44";"0.25";"0.063";"0.31";"0.64";"1";"F=51.392***"
"Specializations_Usage.x";"0.78";"0.87";"0.26";"0";"0.73";"0.93";"1";"0.85";"0.89";"0.18";"0";"0.82";"0.95";"1";"0.84";"0.91";"0.22";"0";"0.81";"0.98";"1";"F=25.38***"
"Specializations_Number.x";"12";"5";"15";"0";"2";"17";"89";"14";"10";"14";"0";"4";"20";"88";"7.2";"4";"8.5";"0";"2";"9";"56";"F=72.558***"
"Shannon.x";"2.1";"2";"1.4";"0";"1";"3.2";"5.5";"2.5";"2.5";"1.3";"0";"1.6";"3.4";"5.6";"1.7";"1.6";"1.2";"0";"0.82";"2.5";"5.2";"F=79.619***"
"Herfindahl.x";"0.4";"0.31";"0.3";"0.038";"0.16";"0.54";"1";"0.33";"0.25";"0.26";"0.029";"0.15";"0.41";"1";"0.48";"0.39";"0.3";"0.038";"0.25";"0.65";"1";"F=52.915***"
"NoSubs_calculated";"40";"8";"155";"0";"2";"23";"3458";"30";"9";"64";"0";"3";"26";"580";"18";"6";"51";"0";"2";"16";"1029";"F=10.316***"
"NoSubsWithPatents";"2.4";"1";"5.9";"0";"0";"2";"112";"2.5";"1";"4.6";"0";"0";"3";"53";"1.4";"1";"2.6";"0";"0";"2";"34";"F=16.218***"
"No_employees_Year";"5195";"628";"15710";"0";"68";"3317";"211233";"11202";"1128";"98647";"0";"303";"4171";"2200000";"3797";"606";"18138";"0";"133";"1697";"243000";"F=2.308*"
"Relatedness_lagged";"12";"11";"11";"0";"1";"19";"53";"16";"16";"12";"0";"7";"24";"54";"13";"12";"10";"0";"3";"20";"53";"F=30.809***"
"N_specializations_lagged";"11";"5";"15";"0";"2";"14";"87";"14";"9";"14";"0";"3";"19";"90";"6.5";"3";"7.9";"0";"1";"8";"55";"F=70.823***"
"UniqueCodes.x";"3.9";"4";"2.2";"1";"2";"6";"8";"4.3";"4";"2";"1";"3";"6";"8";"2.9";"2";"1.7";"1";"2";"4";"8";"F=109.488***"
"UniqueSubclass.x";"23";"10";"30";"1";"4";"30";"205";"28";"17";"31";"1";"7";"36";"220";"13";"7";"16";"1";"3";"16";"150";"F=73.699***"
