"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"Size_class";"Large company";"";"";"";"";"";"";"Medium sized company";"";"";"";"";"";"";"Small company";"";"";"";"";"";"";"Very large company";"";"";"";"";"";"";""
"Relatedness_Cos2";"8.9";"6";"8.9";"0";"0";"15";"36";"6.5";"1";"9";"0";"0";"10";"42";"5.3";"0";"7.8";"0";"0";"9";"36";"16";"15";"11";"0";"8";"23";"53";"F=134.551***"
"NoPatentsYearGUOtotal";"23";"10";"38";"0";"4";"22";"317";"11";"4";"17";"0";"2";"11";"116";"11";"3";"27";"0";"1";"9";"223";"130";"44";"275";"0";"12";"132";"3387";"F=43.33***"
"No_AI_PatentsYearGUOtotal";"0.61";"0.5";"0.83";"0";"0";"1";"8";"0.63";"0.5";"0.79";"0";"0";"1";"5";"0.64";"0.5";"0.81";"0";"0";"1";"5";"0.69";"0.5";"0.96";"0";"0";"1";"9";"F=0.752"
"treat";"0.5";"0.5";"0.5";"0";"0";"1";"1";"0.5";"0.5";"0.5";"0";"0";"1";"1";"0.5";"0.5";"0.5";"0";"0";"1";"1";"0.5";"0.5";"0.5";"0";"0";"1";"1";"F=0"
"Date_Incorporation";"1994";"1999";"25";"1824";"1988";"2009";"2020";"2006";"2009";"9.6";"1960";"2001";"2013";"2019";"2009";"2011";"8.9";"1964";"2006";"2014";"2019";"1986";"1996";"30";"1654";"1981";"2004";"2019";"F=71.948***"
"CurrentYear";"2016";"2017";"2.3";"2011";"2014";"2018";"2019";"2015";"2016";"2.2";"2011";"2014";"2017";"2019";"2016";"2016";"2.1";"2011";"2015";"2018";"2019";"2016";"2016";"2.5";"2011";"2014";"2018";"2019";"F=5.091***"
"NoPatentsYearGUOtotal_avg_fixed";"20";"8";"35";"0.2";"2.8";"19";"318";"9.3";"2.4";"16";"0";"0.8";"9.8";"101";"9.3";"2";"25";"0";"0.8";"7";"206";"119";"37";"264";"0";"9.8";"118";"3282";"F=37.846***"
"HigherUsage.x";"0.46";"0.42";"0.23";"0.091";"0.29";"0.58";"1";"0.58";"0.5";"0.27";"0.079";"0.35";"0.79";"1";"0.59";"0.5";"0.28";"0.14";"0.36";"1";"1";"0.38";"0.34";"0.21";"0.05";"0.22";"0.49";"1";"F=97.332***"
"Specializations_Usage.x";"0.79";"0.87";"0.25";"0";"0.7";"0.98";"1";"0.76";"0.88";"0.31";"0";"0.67";"1";"1";"0.75";"0.91";"0.34";"0";"0.67";"1";"1";"0.85";"0.89";"0.18";"0";"0.82";"0.94";"1";"F=22.985***"
"Specializations_Number.x";"5";"3";"5.5";"0";"2";"6";"40";"2.9";"2";"3.2";"0";"1";"4";"20";"2.8";"1";"3.7";"0";"1";"3.2";"25";"14";"9";"14";"0";"4";"20";"89";"F=130.171***"
"Shannon.x";"1.5";"1.5";"1";"0";"0.92";"2.2";"4.4";"0.98";"0.92";"0.95";"0";"0";"1.8";"3.7";"0.9";"0.92";"0.92";"0";"0";"1.6";"3.3";"2.4";"2.5";"1.3";"0";"1.5";"3.4";"5.6";"F=182.057***"
"Herfindahl.x";"0.48";"0.39";"0.28";"0.073";"0.28";"0.63";"1";"0.64";"0.56";"0.31";"0.11";"0.35";"1";"1";"0.67";"0.62";"0.31";"0.14";"0.37";"1";"1";"0.34";"0.27";"0.26";"0.029";"0.15";"0.45";"1";"F=153.645***"
"NoSubs_calculated";"5.9";"3";"11";"0";"1";"6.8";"106";"3.6";"2";"9.4";"0";"1";"3";"103";"4.1";"2";"8.7";"0";"1";"3";"77";"39";"12";"119";"0";"5";"31";"3458";"F=21.489***"
"NoSubsWithPatents";"0.68";"0";"1.2";"0";"0";"1";"8";"0.5";"0";"0.92";"0";"0";"1";"8";"0.69";"0";"1.1";"0";"0";"1";"10";"2.7";"1";"5.2";"0";"0";"3";"112";"F=39.866***"
"Quartile";"322";"";"";"";"";"";"";"244";"";"";"";"";"";"";"196";"";"";"";"";"";"";"1752";"";"";"";"";"";"";"X2=127.182***"
"... bottom";"150";"47%";"";"";"";"";"";"100";"41%";"";"";"";"";"";"82";"42%";"";"";"";"";"";"488";"28%";"";"";"";"";"";""
"... medium";"72";"22%";"";"";"";"";"";"32";"13%";"";"";"";"";"";"28";"14%";"";"";"";"";"";"654";"37%";"";"";"";"";"";""
"... top";"100";"31%";"";"";"";"";"";"112";"46%";"";"";"";"";"";"86";"44%";"";"";"";"";"";"610";"35%";"";"";"";"";"";""
"No_employees_Year";"170";"138";"153";"1";"53";"229";"732";"23";"12";"26";"1";"2";"35";"111";"3.3";"4";"2.3";"0";"1";"4";"12";"8472";"1240";"66364";"0";"429";"4177";"2200000";"F=1.66"
"Relatedness_lagged";"8.8";"6";"9.2";"0";"0";"15";"54";"7.3";"3";"9.6";"0";"0";"12";"41";"5.8";"0.5";"8.2";"0";"0";"11";"35";"16";"15";"11";"0";"8";"23";"53";"F=84.832***"
"N_specializations_lagged";"4.6";"3";"5.4";"0";"1";"6";"39";"2.5";"1";"3";"0";"1";"3";"20";"2.4";"1";"3.5";"0";"1";"3";"25";"13";"8";"14";"0";"3";"18";"90";"F=121.772***"
"UniqueCodes.x";"2.9";"2";"1.6";"1";"2";"4";"8";"2.1";"2";"1.3";"1";"1";"3";"7";"2";"2";"1.2";"1";"1";"2";"7";"4.2";"4";"2";"1";"2";"6";"8";"F=177.083***"
"UniqueSubclass.x";"9.1";"6";"9.8";"1";"3";"11";"69";"5.3";"3";"6.7";"1";"2";"6.8";"51";"5.1";"3";"7.2";"1";"1";"5";"57";"27";"16";"30";"1";"7";"36";"220";"F=108.696***"
