"AverageDistance";"Nace_4d";"Quartile"
0,105426356589147;"0113";"top"
0,263565891472868;"0510";"bottom"
0,246511627906977;"0610";"bottom"
0,195348837209302;"0710";"medium"
0,238759689922481;"0729";"medium"
0,198449612403101;"0891";"medium"
0,189147286821705;"0893";"medium"
0,258914728682171;"0899";"bottom"
0,218604651162791;"0910";"medium"
0,196899224806202;"1011";"medium"
0,161240310077519;"1020";"top"
0,131782945736434;"1039";"top"
0,184496124031008;"1041";"medium"
0,134883720930233;"1042";"top"
0,182945736434109;"1051";"medium"
0,193798449612403;"1061";"medium"
0,137984496124031;"1073";"top"
0,218604651162791;"1081";"medium"
0,184496124031008;"1082";"medium"
0,130232558139535;"1084";"top"
0,244961240310078;"1089";"bottom"
0,187596899224806;"1091";"medium"
0,241860465116279;"1101";"medium"
0,182945736434109;"1102";"medium"
0,224806201550388;"1105";"medium"
0,210852713178295;"1107";"medium"
0,137984496124031;"1200";"top"
0,27906976744186;"1310";"bottom"
0,192248062015504;"1320";"medium"
0,234108527131783;"1330";"medium"
0,243410852713178;"1392";"medium"
0,172093023255814;"1393";"medium"
0,288372093023256;"1399";"bottom"
0,2;"1413";"medium"
0,187596899224806;"1414";"medium"
0,170542635658915;"1419";"medium"
0,227906976744186;"1420";"medium"
0,161240310077519;"1439";"top"
0,193798449612403;"1512";"medium"
0,165891472868217;"1520";"medium"
0,182945736434109;"1621";"medium"
0,181395348837209;"1623";"medium"
0,235658914728682;"1629";"medium"
0,161240310077519;"1711";"top"
0,285271317829457;"1712";"bottom"
0,158139534883721;"1721";"top"
0,210852713178295;"1722";"medium"
0,165891472868217;"1723";"medium"
0,181395348837209;"1724";"medium"
0,235658914728682;"1729";"medium"
0,207751937984496;"1812";"medium"
0,151937984496124;"1814";"top"
0,148837209302326;"1820";"top"
0,224806201550388;"1910";"medium"
0,262015503875969;"1920";"bottom"
0,285271317829457;"2011";"bottom"
0,192248062015504;"2012";"medium"
0,302325581395349;"2013";"bottom"
0,277519379844961;"2014";"bottom"
0,189147286821705;"2015";"medium"
0,30077519379845;"2016";"bottom"
0,164341085271318;"2017";"medium"
0,207751937984496;"2020";"medium"
0,227906976744186;"2030";"medium"
0,258914728682171;"2041";"bottom"
0,165891472868217;"2042";"medium"
0,203100775193798;"2052";"medium"
0,325581395348837;"2059";"bottom"
0,293023255813953;"2060";"bottom"
0,238759689922481;"2110";"medium"
0,162790697674419;"2120";"medium"
0,196899224806202;"2211";"medium"
0,26046511627907;"2219";"bottom"
0,252713178294574;"2221";"bottom"
0,145736434108527;"2222";"top"
0,226356589147287;"2223";"medium"
0,333333333333333;"2229";"bottom"
0,258914728682171;"2311";"bottom"
0,201550387596899;"2314";"medium"
0,173643410852713;"2319";"medium"
0,137984496124031;"2320";"top"
0,136434108527132;"2331";"top"
0,176744186046512;"2341";"medium"
0,144186046511628;"2342";"top"
0,184496124031008;"2343";"medium"
0,302325581395349;"2351";"bottom"
0,133333333333333;"2361";"top"
0,22015503875969;"2369";"medium"
0,283720930232558;"2391";"bottom"
0,254263565891473;"2399";"bottom"
0,306976744186047;"2410";"bottom"
0,265116279069767;"2420";"bottom"
0,249612403100775;"2432";"bottom"
0,206201550387597;"2434";"medium"
0,203100775193798;"2441";"medium"
0,291472868217054;"2442";"bottom"
0,22015503875969;"2444";"medium"
0,221705426356589;"2445";"medium"
0,26046511627907;"2452";"bottom"
0,212403100775194;"2453";"medium"
0,224806201550388;"2454";"medium"
0,255813953488372;"2511";"bottom"
0,175193798449612;"2512";"medium"
0,232558139534884;"2521";"medium"
0,182945736434109;"2529";"medium"
0,141085271317829;"2540";"top"
0,243410852713178;"2550";"medium"
0,209302325581395;"2561";"medium"
0,108527131782946;"2572";"top"
0,265116279069767;"2573";"bottom"
0,213953488372093;"2592";"medium"
0,285271317829457;"2593";"bottom"
0,241860465116279;"2594";"medium"
0,387596899224806;"2599";"bottom"
0,182945736434109;"2611";"medium"
0,192248062015504;"2612";"medium"
0,156589147286822;"2620";"top"
0,110077519379845;"2630";"top"
0,113178294573643;"2640";"top"
0,196899224806202;"2651";"medium"
0,184496124031008;"2652";"medium"
0,124031007751938;"2660";"top"
0,164341085271318;"2670";"medium"
0,176744186046512;"2711";"medium"
0,215503875968992;"2712";"medium"
0,161240310077519;"2720";"top"
0,195348837209302;"2732";"medium"
0,167441860465116;"2733";"medium"
0,127131782945736;"2740";"top"
0,241860465116279;"2751";"medium"
0,206201550387597;"2790";"medium"
0,168992248062016;"2800";"medium"
0,224806201550388;"2811";"medium"
0,258914728682171;"2813";"bottom"
0,243410852713178;"2814";"medium"
0,193798449612403;"2815";"medium"
0,201550387596899;"2822";"medium"
0,133333333333333;"2823";"top"
0,193798449612403;"2824";"medium"
0,203100775193798;"2825";"medium"
0,330232558139535;"2829";"bottom"
0,237209302325581;"2830";"medium"
0,198449612403101;"2841";"medium"
0,231007751937985;"2849";"medium"
0,257364341085271;"2891";"bottom"
0,277519379844961;"2892";"bottom"
0,204651162790698;"2893";"medium"
0,175193798449612;"2894";"medium"
0,257364341085271;"2895";"bottom"
0,155038759689922;"2896";"top"
0,427906976744186;"2899";"bottom"
0,223255813953488;"2910";"medium"
0,244961240310078;"2920";"bottom"
0,136434108527132;"2931";"top"
0,262015503875969;"2932";"bottom"
0,275968992248062;"3011";"bottom"
0,161240310077519;"3012";"top"
0,184496124031008;"3020";"medium"
0,28062015503876;"3030";"bottom"
0,226356589147287;"3091";"medium"
0,27906976744186;"3099";"bottom"
0,148837209302326;"3101";"top"
0,227906976744186;"3109";"medium"
0,206201550387597;"3212";"medium"
0,128682170542636;"3220";"top"
0,210852713178295;"3230";"medium"
0,162790697674419;"3240";"medium"
0,130232558139535;"3250";"top"
0,254263565891473;"3299";"bottom"
0,110077519379845;"3314";"top"
0,131782945736434;"3320";"top"
0,296124031007752;"3511";"bottom"
0,196899224806202;"3512";"medium"
0,234108527131783;"3522";"medium"
0,187596899224806;"3600";"medium"
0,153488372093023;"3700";"top"
0,114728682170543;"3821";"top"
0,170542635658915;"3900";"medium"
0,195348837209302;"4110";"medium"
0,275968992248062;"4120";"bottom"
0,221705426356589;"4211";"medium"
0,266666666666667;"4221";"bottom"
0,206201550387597;"4299";"medium"
0,2;"4321";"medium"
0,206201550387597;"4322";"medium"
0,2;"4329";"medium"
0,181395348837209;"4334";"medium"
0,148837209302326;"4339";"top"
0,150387596899225;"4391";"top"
0,189147286821705;"4511";"medium"
0,153488372093023;"4520";"top"
0,142635658914729;"4531";"top"
0,235658914728682;"4614";"medium"
0,22015503875969;"4618";"medium"
0,153488372093023;"4632";"top"
0,258914728682171;"4634";"bottom"
0,227906976744186;"4641";"medium"
0,193798449612403;"4642";"medium"
0,193798449612403;"4643";"medium"
0,172093023255814;"4645";"medium"
0,151937984496124;"4646";"top"
0,469767441860465;"4649";"bottom"
0,131782945736434;"4651";"top"
0,193798449612403;"4652";"medium"
0,0992248062015504;"4666";"top"
0,238759689922481;"4669";"medium"
0,243410852713178;"4671";"medium"
0,266666666666667;"4672";"bottom"
0,246511627906977;"4673";"bottom"
0,244961240310078;"4674";"bottom"
0,272868217054264;"4675";"bottom"
0,258914728682171;"4690";"bottom"
0,195348837209302;"4719";"medium"
0,0976744186046512;"4743";"top"
0,170542635658915;"4752";"medium"
0,137984496124031;"4754";"top"
0,11937984496124;"4759";"top"
0,0744186046511628;"4761";"top"
0,131782945736434;"4773";"top"
0,172093023255814;"4778";"medium"
0,103875968992248;"4791";"top"
0,181395348837209;"4910";"medium"
0,217054263565891;"4941";"medium"
0,210852713178295;"4950";"medium"
0,170542635658915;"5020";"medium"
0,212403100775194;"5110";"medium"
0,168992248062016;"5222";"medium"
0,189147286821705;"5224";"medium"
0,178294573643411;"5229";"medium"
0,124031007751938;"5320";"top"
0,195348837209302;"5510";"medium"
0,227906976744186;"5610";"medium"
0,196899224806202;"5811";"medium"
0,0775193798449612;"5819";"top"
0,0868217054263566;"5829";"top"
0,148837209302326;"5911";"top"
0,103875968992248;"6010";"top"
0,0651162790697674;"6020";"top"
0,0868217054263566;"6190";"top"
0,0744186046511628;"6201";"top"
0,0635658914728682;"6209";"top"
0,0744186046511628;"6311";"top"
0,277519379844961;"6419";"bottom"
0,503875968992248;"6420";"bottom"
0,294573643410853;"6430";"bottom"
0,262015503875969;"6492";"bottom"
0,317829457364341;"6499";"bottom"
0,285271317829457;"6500";"bottom"
0,229457364341085;"6612";"medium"
0,297674418604651;"6619";"bottom"
0,291472868217054;"6820";"bottom"
0,306976744186047;"6831";"bottom"
0,195348837209302;"6832";"medium"
0,415503875968992;"7010";"bottom"
0,294573643410853;"7022";"bottom"
0,441860465116279;"7112";"bottom"
0,271317829457364;"7210";"bottom"
0,187596899224806;"7211";"medium"
0,277519379844961;"7219";"bottom"
0,12093023255814;"7220";"top"
0,176744186046512;"7311";"medium"
0,190697674418605;"7490";"medium"
0,162790697674419;"7732";"medium"
0,173643410852713;"7739";"medium"
0,0775193798449612;"7911";"top"
0,144186046511628;"7990";"top"
0,113178294573643;"8010";"top"
0,12093023255814;"8020";"top"
0,110077519379845;"8211";"top"
0,246511627906977;"8299";"bottom"
0,452713178294574;"8411";"bottom"
0,272868217054264;"8412";"bottom"
0,234108527131783;"8541";"medium"
0,173643410852713;"8542";"medium"
0,210852713178295;"8552";"medium"
0,13953488372093;"8690";"top"
0,106976744186047;"9329";"top"
0,182945736434109;"9499";"medium"
0,142635658914729;"9609";"top"
0;"AI";"top"
