"Company";"subclass";"Year_before_adoption";"new_treat"
"AT9110276348";1;2013;1
"AT9130000041";2;2017;1
"AU008130336";71;2014;0
"AU062959540";3;2010;1
"AU117248450";31;2017;0
"AU132653948";29;2015;0
"AU156377141";75;2017;0
"BE0448548388";4;2010;1
"BE0452080178";5;2016;1
"BE0545872052";6;2015;1
"BM17368R";7;2014;1
"BM22540R";8;2016;1
"BM26451R";24;2013;0
"BM39838R";4;2010;0
"CA163224615L";9;2013;1
"CA20152NC";65;2017;0
"CA31095NC";95;2011;0
"CA33695NC";26;2011;0
"CA34937NC";3;2010;0
"CA40260NC";99;2017;0
"CA40454NC";39;2017;0
"CHCHE101274782";36;2013;0
"CHCHE101862654";10;2014;1
"CHCHE102123424";2;2017;0
"CHCHE109066419";34;2015;0
"CHCHE340129854";11;2016;1
"CHCHE492916274";50;2015;0
"CN30109PC";12;2017;1
"CN30116PC";13;2016;1
"CN30353PC";108;2011;0
"CN30373PC";14;2018;1
"CN30519PC";15;2016;1
"CN30577FH";16;2013;1
"CN30648PC";17;2017;1
"CN30726PC";105;2010;0
"CN31636PC";18;2011;1
"CN31764PC";16;2013;0
"CN31833PC";88;2016;0
"CN32043PC";19;2011;1
"CN40023PC";20;2016;1
"CN40038PC";21;2010;1
"CN40065PC";22;2013;0
"CN40121PC";22;2013;1
"CN40151PC";58;2017;0
"CN40198PC";23;2015;1
"CN40274PC";7;2014;0
"CN40292PC";60;2016;0
"CN40357PC";84;2017;0
"CN40394PC";24;2013;1
"CN40413PC";25;2018;1
"CN40428PC";26;2011;1
"CN40479PC";20;2016;0
"CN40536PC";18;2011;0
"CN40615PC";27;2017;1
"CN42918PC";28;2017;1
"CN51466PC";29;2015;1
"DE2050224523";30;2014;1
"DE2150997795";31;2017;1
"DE2390116653";91;2017;0
"DE5230000634";32;2016;1
"DE5350027299";86;2017;0
"DE6050103027";30;2014;0
"DE7010001918";33;2017;1
"DE7210000208";33;2017;0
"DE7330210868";34;2015;1
"DE8150221231";10;2014;0
"DE8350154523";92;2016;0
"DK34613141";35;2017;1
"ESB61413399";36;2013;1
"FI23615892";37;2016;1
"FR330703844";38;2014;1
"FR382231991";39;2017;1
"FR388368615";40;2015;1
"FR389274846";41;2014;1
"FR399275395";85;2018;0
"FR419838529";44;2010;0
"FR812191443";42;2016;1
"GB01602662";19;2011;0
"GB02415211";43;2013;1
"GB02879724";44;2010;1
"GB06227084";76;2015;0
"GB09210291";97;2014;0
"GB09537047";45;2016;1
"GB10142871";101;2015;0
"HK0021564181";49;2014;0
"IE518146";11;2016;0
"IL30102GE";17;2017;0
"IL30652GE";66;2014;0
"IL40134GE";57;2015;0
"IL53-199-1748";46;2014;0
"IL60-015-6430";42;2016;0
"IN0001371798";46;2014;1
"IN117652FI";21;2010;0
"IN30821FI";55;2013;0
"IN31467FI";47;2015;1
"IT06260730012";48;2017;1
"IT07938370967";45;2016;0
"IT08452160966";49;2014;1
"IT08573820969";51;2014;0
"IT09504670960";50;2015;1
"IT12008331006";51;2014;1
"JP1011001072836";52;2017;1
"JP1011101046616";77;2017;0
"JP1020001001886";53;2017;1
"JP1020001022180";53;2017;0
"JP2010001134133";54;2016;1
"JP2010401067057";55;2013;1
"JP2010601004909";56;2017;1
"JP2010701018429";62;2016;0
"JP3011101046226";57;2015;1
"JP3011101058080";58;2017;1
"JP3020001019365";59;2017;1
